,Symbol,Contract,Date,Open,High,Low,Close,Volume
3076,TX,201707,2017/7/7,10234,10246,10195,10209,268204
3078,TX,201708,2017/7/7,10130,10140,10093,10107,5822
3082,TX,201707,2017/7/10,10226,10242,10180,10222,238666
3085,TX,201708,2017/7/10,10122,10137,10079,10117,5444
3089,TX,201707,2017/7/11,10223,10356,10222,10336,299492
3093,TX,201708,2017/7/11,10118,10249,10118,10234,11758
3100,TX,201707,2017/7/12,10337,10383,10321,10373,252310
3104,TX,201708,2017/7/12,10222,10276,10214,10258,8344
3110,TX,201707,2017/7/13,10372,10442,10367,10407,311288
3114,TX,201708,2017/7/13,10259,10324,10256,10295,18394
3119,TX,201707,2017/7/14,10407,10424,10391,10418,168278
3122,TX,201708,2017/7/14,10294,10310,10278,10306,13296
3126,TX,201707,2017/7/17,10458,10480,10414,10425,229884
3130,TX,201708,2017/7/17,10343,10367,10293,10311,26200
3134,TX,201707,2017/7/18,10426,10467,10407,10457,178916
3139,TX,201708,2017/7/18,10310,10350,10291,10337,37028
3143,TX,201707,2017/7/19,10458,10541,10453,10500,181652
3145,TX,201708,2017/7/19,10338,10422,10333,10408,134130
3150,TX,201708,2017/7/20,10408,10425,10370,10382,207284
3152,TX,201709,2017/7/20,10380,10395,10344,10353,3380
3156,TX,201708,2017/7/21,10383,10388,10287,10295,219828
3160,TX,201709,2017/7/21,10355,10358,10260,10267,3896
3164,TX,201708,2017/7/24,10300,10369,10285,10360,206874
3167,TX,201709,2017/7/24,10279,10339,10260,10333,3586
3171,TX,201708,2017/7/25,10361,10387,10338,10383,200282
3174,TX,201709,2017/7/25,10333,10357,10309,10351,3766
3178,TX,201708,2017/7/26,10384,10421,10320,10343,294050
3181,TX,201709,2017/7/26,10351,10389,10291,10313,6204
3185,TX,201708,2017/7/27,10344,10466,10334,10464,276950
3188,TX,201709,2017/7/27,10313,10433,10305,10427,7102
3192,TX,201708,2017/7/28,10464,10464,10320,10335,290888
3195,TX,201709,2017/7/28,10429,10430,10289,10301,6608
3199,TX,201708,2017/7/31,10333,10373,10289,10355,230964
3201,TX,201709,2017/7/31,10301,10342,10260,10326,5492
3205,TX,201708,2017/8/1,10355,10424,10346,10380,268716
3209,TX,201709,2017/8/1,10322,10388,10317,10346,6200
3213,TX,201708,2017/8/2,10380,10471,10379,10440,265194
3214,TX,201709,2017/8/2,10346,10434,10346,10406,7800
3218,TX,201708,2017/8/3,10439,10454,9408,10399,289440
3219,TX,201709,2017/8/3,10406,10419,9387,10368,8050
3223,TX,201708,2017/8/4,10400,10456,10398,10446,181726
3226,TX,201709,2017/8/4,10365,10420,10363,10408,5032
3231,TX,201708,2017/8/7,10476,10544,10475,10541,191766
3234,TX,201709,2017/8/7,10436,10504,10436,10504,6924
3238,TX,201708,2017/8/8,10540,10567,10485,10542,249238
3241,TX,201709,2017/8/8,10504,10528,10447,10502,9576
3245,TX,201708,2017/8/9,10542,10544,10429,10439,306118
3248,TX,201709,2017/8/9,10502,10503,10390,10398,13658
3253,TX,201708,2017/8/10,10439,10484,10264,10271,418556
3255,TX,201709,2017/8/10,10400,10443,10229,10234,27036
3260,TX,201708,2017/8/11,10271,10326,10224,10305,327066
