,Strike Price,Date,Open,High,Low,Close,Volume
15146,9900,2018-05-18,45.0,45.0,37.0,40.5,384.0
15147,10000,2018-05-21,41.5,45.5,34.0,35.0,984.0
15148,10100,2018-05-21,55.0,56.0,42.0,44.0,168.0
15149,10200,2018-05-21,69.0,69.0,54.0,55.0,398.0
15150,10300,2018-05-21,87.0,91.0,69.0,71.0,280.0
15151,10400,2018-05-21,112.0,117.0,83.0,87.0,280.0
15152,10500,2018-05-21,145.0,145.0,108.0,120.0,378.0
15153,10600,2018-05-21,184.0,184.0,146.0,151.0,174.0
15154,10700,2018-05-21,234.0,234.0,182.0,190.0,120.0
15155,10800,2018-05-21,284.0,287.0,236.0,241.0,82.0
15156,10900,2018-05-21,359.0,359.0,286.0,303.0,70.0
15157,11000,2018-05-21,388.0,397.0,348.0,365.0,310.0
15158,11100,2018-05-21,488.0,488.0,436.0,436.0,20.0
15159,11200,2018-05-21,550.0,550.0,550.0,550.0,2.0
15160,11300,2018-05-21,665.0,665.0,645.0,645.0,6.0
15161,11400,2018-05-21,735.0,735.0,735.0,735.0,2.0
15162,11500,2018-05-21,800.0,800.0,800.0,800.0,2.0
15163,11600,2018-05-21,930.0,930.0,930.0,930.0,2.0
15164,8900,2018-05-21,9.0,9.0,8.8,8.8,14.0
15165,9000,2018-05-21,10.5,11.0,9.7,10.0,260.0
15166,9100,2018-05-21,12.0,12.0,10.0,10.0,8.0
15167,9200,2018-05-21,13.0,13.0,12.0,12.0,34.0
15168,9300,2018-05-21,15.0,15.0,12.5,12.5,6.0
15169,9400,2018-05-21,16.0,16.0,14.0,14.0,50.0
15170,9500,2018-05-21,17.5,18.5,16.5,16.5,76.0
15171,9600,2018-05-21,20.5,21.0,18.5,19.0,92.0
15172,9700,2018-05-21,24.0,24.0,21.0,21.0,92.0
15173,9800,2018-05-21,30.0,30.0,24.0,24.5,222.0
15174,9900,2018-05-21,35.0,35.5,26.0,26.0,292.0
15175,10000,2018-05-22,36.0,38.0,32.0,37.0,500.0
15176,10100,2018-05-22,42.0,48.0,39.5,44.0,536.0
15177,10200,2018-05-22,54.0,62.0,50.0,62.0,132.0
15178,10300,2018-05-22,69.0,79.0,65.0,79.0,262.0
15179,10400,2018-05-22,90.0,102.0,83.0,98.0,682.0
15180,10500,2018-05-22,118.0,129.0,107.0,123.0,974.0
15181,10600,2018-05-22,149.0,163.0,137.0,159.0,116.0
15182,10700,2018-05-22,190.0,207.0,177.0,207.0,58.0
15183,10800,2018-05-22,220.0,259.0,220.0,259.0,74.0
15184,10900,2018-05-22,301.0,321.0,275.0,317.0,34.0
15185,11000,2018-05-22,360.0,389.0,348.0,389.0,326.0
15186,11100,2018-05-22,447.0,466.0,447.0,466.0,6.0
15187,11400,2018-05-22,690.0,690.0,685.0,685.0,4.0
15188,11500,2018-05-22,805.0,805.0,805.0,805.0,2.0
